epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,692.305,0.88043,0.87781,0.92267,0.76097,0.76117,0.81309,0.59912,0.97754,inf,0.94682,0.000663623,0.000663623,0.000663623
2,1384.69,0.7501,0.438,0.88077,0.74608,0.76335,0.792,0.56114,1.07586,inf,1.00922,0.00125712,0.00125712,0.00125712
3,2072.32,0.72274,0.41311,0.87332,0.78186,0.74909,0.80132,0.57005,1.11911,inf,1.01313,0.00177729,0.00177729,0.00177729
4,2756.97,0.69571,0.38633,0.86649,0.78694,0.7511,0.81246,0.60071,1.02063,inf,0.97735,0.00167,0.00167,0.00167
5,3440.65,0.66691,0.36133,0.85854,0.80614,0.74107,0.8136,0.60291,1.05942,inf,0.98266,0.00156,0.00156,0.00156
6,4124.46,0.6463,0.34659,0.85298,0.78112,0.76002,0.80777,0.60902,1.00176,inf,0.98267,0.00145,0.00145,0.00145
7,4804.91,0.62795,0.32989,0.84825,0.78249,0.74382,0.80379,0.59682,1.06091,inf,0.99378,0.00134,0.00134,0.00134
8,5487.46,0.61428,0.32126,0.84484,0.78045,0.74051,0.79953,0.60289,1.0195,inf,0.98795,0.00123,0.00123,0.00123
9,6171.18,0.58544,0.2987,0.83239,0.79798,0.72976,0.80051,0.60659,1.04213,inf,0.99076,0.00112,0.00112,0.00112
10,6848.19,0.56882,0.28846,0.82904,0.81102,0.7175,0.79565,0.59865,1.05645,inf,0.9973,0.00101,0.00101,0.00101
11,7523.42,0.55426,0.28024,0.82604,0.8078,0.72184,0.80052,0.60472,1.06527,inf,0.99048,0.0009,0.0009,0.0009
